,BLKID,MAF_NAME,TLID_match
688,80310041061231,N Akron Ct,606062117
689,80310070893009,S Alton Way,177343125
690,80310029013000,S Pennsylvania St,177332071
691,80310016002001,28th St,646534716
692,80310014022009,S Zuni St,642107000
693,80310011023018,18th St,177303570
694,80310027031000,E 14th Ave,177306081
695,80310016003002,Larimer St,177304975
696,80310017012005,15th St,606098153
697,80310055031008,W Layton Ave,177329971
699,80310041061034,E 40th Ave,634934180
700,80310083893065,E 54th Ave,606063939
702,80310024031009,Champa St,177305089
704,80310014032031,S Cherokee St,177332939
705,80310050023007,E Exposition Ave,177342547
706,80310045041003,W Nevada Pl,177326480
708,80310040021004,S Madison St,177340856
709,80310017015008,Blake St,177623964
710,80310156004001,W Hillside Ave,177329609
711,80310030023017,S Grant St,177333748
713,80310017022002,15th St,177304418
715,80310024031026,Welton St,177305596
716,80310005025015,W 24th Ave,177301382
719,80310017022002,15th St,177304418
722,80310038005035,N Clayton Ln,617188436
723,80310040051018,E Evans Ave,617188101
726,80310030032000,E Buchtel Blvd,606058384
728,80310030023013,S Lincoln St,177332964
729,80310068111023,E Dartmouth Ave,606043230
736,80310051024000,E Atlantic Pl,177340281
737,80310155003006,S Bellaire St,177339284
739,80310068094000,E Quincy Ave,641117229
740,80310155002004,S Dahlia St,177340046
741,80310045043006,W Center Ave,177326489
742,80310017022004,Champa St,177304437
743,80310069013003,E Evans Ave,177392683
744,80310157003012,W Greenwood Pl,177328987
745,80310068111012,S Valentia St,177343656
746,80310155002003,E Mississippi Ave,637537196
747,80310055032009,S Newton St,177329931
748,80310083901004,E 45th Pl,617528304
751,80310041071079,E 29th Pl,606070301
752,80310040063001,S Fillmore St,177340618
754,80310011021022,Rockmont Dr,177625406
757,80310083912011,E 42nd Ave,177404897
758,80310047005013,S Wolcott Ct,177328725
759,80310037011001,E 23rd Ave,177625174
760,80310014032034,S Acoma St,177332966
761,80310051022009,S Fairfax St,177340222
766,80310038003016,S Garfield St,177338648
768,80310029022013,S Corona St,177332225
770,80310030042010,S Gilpin St,177334025
771,80310119022009,S Newland St,177321895
776,80310120144001,S Balsam Way,640651328
777,80310040033001,E Yale Ave,177340943
780,80310041061102,N Alton St,617527319
782,80310014023003,S Federal Blvd,177328140
787,80310068041070,S Ulster St,606006801
788,80310083893099,E Stoll Pl,617528616
789,80310030012009,S Logan St,177332108
791,80310010002003,S Canosa Ct,177327806
792,80310044054066,E Lowry Blvd,627214895
795,80310068042036,E Bellewood Pl,177346492
797,80310010001046,S Zuni St,177327867
798,80310068111018,S Xanthia St,177343727
799,80310068042004,S Willow St,177344161
800,80310040022002,S Saint Paul St,177340799
803,80310068113008,E Girard Ave,606043527
804,80310068092004,E Ithaca Pl,177343804
806,80310028023004,S Sherman St,177331600
808,80310016002049,Blake St,177304379
810,80310044054015,E 8th Pl,606038593
813,80310119024004,S Harlan St,177328994
814,80310069014006,E Donald Ave,612876049
815,80310067011032,E Chenango Ave,640660892
816,80310003023000,W 31st Ave,177299819
818,80310068093007,S Rosemary Way,177343912
821,80310034021009,S High St,177332028
824,80310024032014,California St,177304557
828,80310041061249,N Central Park Blvd,640737386
830,80310003025004,W 37th Ave,177299491
837,80310120101004,S Wadsworth Blvd,623656789
838,80310051023001,S Grape St,177340243
839,80310046035009,S Irving St,177328162
842,80310017022002,15th St,177304418
844,80310004023022,W 28th Ave,177301343
845,80310003033000,W Moncrieff Pl,177300841
847,80310013012004,S Canosa Ct,177328211
848,80310068094005,E Quincy Ave,606047280
850,80310014023000,S Zuni St,177328417
851,80310120144001,S Balsam Way,640651328
852,80310046011005,S Vrain St,177326978
853,80310156001002,S Federal Blvd,642912986
854,80310045041010,S Raleigh St,177326562
856,80310030014004,S Pennsylvania St,177332289
861,80310010001021,W 2nd Ave,177327680
862,80310017021012,Curtis St,177304431
863,80310016002048,Blake St,177304450
864,80310038004002,E 1st Ave,177338386
868,80310017011009,Chestnut Pl,606041095
872,80310068042020,E Union Ave,606028427
873,80310019012015,W 11th Ave,177304320
875,80310030013003,S Clarkson St,177332330
876,80310067011032,E Chenango Ave,640660892
879,80310051023022,S Glencoe St,177340263
882,80310070892003,S Alton Way,177343107
884,80310017021026,17th St,177627634
885,80310083881001,N Yampa St,646543094
886,80310011023031,Platte St,640071191
887,80310001022014,W 47th Ave,177300580
888,80310083882000,N Telluride Ct,644992352
889,80310068101003,S Beeler St,612863156
890,80310055021009,W Kenyon Ave,177630747
891,80310014015010,S Eliot St,177328340
892,80310083911017,E 47th Ave,606038432
893,80310040061009,S Cook St,177340612
895,80310068122007,S Poplar St,612840776
898,80310051023003,S Forest St,177340226
899,80310067011032,E Chenango Ave,640660892
902,80310009052000,W 9th Ave,177301746
904,80310070131012,S Quebec Way,606057536
905,80310021004010,W 2nd Ave,177330618
908,80310036031007,E 31st Ave,177310762
909,80310044054005,N Syracuse Ct,606040668
910,80310052003021,E Evans Ave,177343404
911,80310120101031,W Crestline Ave,177626957
915,80310040052006,S Josephine St,638611326
917,80310083891003,E 50th Pl,646543255
918,80310017011009,Chestnut Pl,646531935
919,80310068042020,E Union Ave,606028427
921,80310045033006,W Kentucky Ave,177327010
922,80310070131002,S Trenton St,636169078
924,80310017014011,Market St,177304361
925,80310043042030,E 8th Ave,177342193
926,80310119021010,S Lamar St,177321833
927,80310018001011,W 11th Ave,177630959
929,80310083882006,E 40th Ave,640657413
930,80310031011008,E 23rd Ave,177305918
931,80310026021000,E 19th Ave,642107209
933,80310070893008,S Alton Way,177343107
934,80310017012004,Delgany St,177304054
936,80310083063007,E Elk Pl,606027721
937,80310003034001,W 38th Ave,177300655
940,80310009054002,W 6th Ave,177327361
941,80310068042020,E Union Ave,606028427
942,80310021003047,W Bayaud Ave,177330787
943,80310119022000,S Depew St,177328685
945,80310009032006,S Julian St,177327464
