,Unnamed: 0,LATITUDE,LONGITUDE,MAF_NAME,BLKID
115084,22925,39.73893669,-104.92006474,N Ivy St,80310043044006
158399,265683,39.68157983,-104.95851906,S Josephine St,80310040052006
259853,146937,39.78465488,-104.94952943,N Steele St,80310035003072
225732,172997,39.78560684,-104.83068178,N Crown Blvd,80310083062021
66747,219533,39.74460096,-104.99592864,14th St,80310017022017
16345,276303,39.76359731,-104.99981092,Rockmont Dr,80310011021022
194743,226977,39.690495,-104.9620619,S Gaylord St,80310034023022
96346,39768,39.7453816,-104.99754472,14th St,80310017022019
235307,56054,39.7372429,-104.96634291,N Williams St,80310032011006
298952,156049,39.68486476,-105.00922365,S Raritan St,80310014021007
289342,111429,39.63433076,-105.045974,W Stanford Ave,80310055033010
112307,232589,39.73619837,-104.99140861,N Cherokee St,80310020001033
264207,194340,39.76333031,-104.93057713,N Dahlia St,80310041012006
243623,76910,39.69541361,-104.90911026,S Oneida St,80310050022009
165875,131501,39.63327308,-105.03595408,S Lowell Blvd,80310055032009
114541,293951,39.71403413,-104.91339587,S Monaco Street Pkwy,80310043063010
52423,92982,39.71847676,-105.03038171,N Irving St,80310009031018
10865,258921,39.63025107,-104.90127774,E Technology Way,80310068041051
207738,26598,39.75978354,-104.87280843,E Martin Luther King Jr Blvd,80310041061159
284929,220953,39.661266299999994,-104.92625447,E Dartmouth Ave,80310040031006
243734,217796,39.69528312,-104.90852343,S Oneida St,80310050022009
22313,269394,39.70483399,-104.86844521,E Virginia Ave,80310070372008
314078,250716,39.78289896,-104.77879074,E 47th Dr,80310083882000
111441,8141,39.73529547,-104.95136404,E 12th Ave,80310037022001
300245,145385,39.67148298,-105.03253626,S King St,80310046033002
132099,46773,39.69577326,-104.98836899,S Acoma St,80310014031000
99808,312478,39.75535632,-104.98576132,Arapahoe St,80310016003024
239017,63752,39.7044159,-104.88388391,S Alton Way,80310070893003
71348,46735,39.75506276,-104.99201216,Market St,80310016002048
117129,160704,39.66991177,-104.97080581,S Lafayette St,80310030042031
253994,129882,39.79358885,-104.81331369,N Altura St,80310083862002
236340,58385,39.73631504,-104.96392547,N Race St,80310032022003
169098,41588,39.73880132,-104.89800191,E 14th Ave,80310044041003
162480,113079,39.71948105,-104.91678083,N Kearney St,80310043063005
265301,115264,39.71913697,-104.94032793,N Colorado Blvd,80310043032047
216381,49527,39.72017476,-104.89327309,E Lowry Blvd,80310044054069
75675,106959,39.73269983,-104.95386728,N Detroit St,80310037022011
39225,311855,39.78043759,-104.80032935,E 47th Dr,80310083882006
14568,70253,39.73294728,-104.97784167,N Clarkson St,80310027034005
161161,36360,39.67148482,-104.99195617,S Delaware St,80310014032028
26646,309088,39.75546108,-105.00108491,18th St,80310017011009
161257,161709,39.7278933,-104.91691354,N Kearney St,80310043043032
275801,135820,39.69576388,-105.04406268,S Tennyson St,80310046011004
184934,78165,39.69475526,-104.90899995,E Arizona Ave,80310050022010
290882,128705,39.66458674,-105.07522196,S Saulsbury St,80310119031013
